,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
amq-streams-workshop-2022/06/28,amq-streams-workshop,2022/06/28,0,7,1,0,0
b0rr3g0-blog-2022/07/07,b0rr3g0-blog,2022/07/07,0,15,1,5,4
b0rr3g0-blog-2022/07/08,b0rr3g0-blog,2022/07/08,0,6,1,9,5
dbgjerez-2022/07/01,dbgjerez,2022/07/01,0,3,1,0,0
golang-azure-eventhub-kafka-2022/07/04,golang-azure-eventhub-kafka,2022/07/04,0,1,1,0,0
golang-gin-gonic-2022/07/11,golang-gin-gonic,2022/07/11,0,0,0,1,1
golang-k8s-helm-helloworld-2022/07/06,golang-k8s-helm-helloworld,2022/07/06,2,15,1,0,0
golang-k8s-helm-helloworld-2022/07/07,golang-k8s-helm-helloworld,2022/07/07,2,4,1,0,0
golang-rest-api-cassandra-2022/06/28,golang-rest-api-cassandra,2022/06/28,2,1,1,0,0
golang-rest-api-cassandra-2022/07/05,golang-rest-api-cassandra,2022/07/05,2,27,2,119,50
golang-rest-api-cassandra-2022/07/06,golang-rest-api-cassandra,2022/07/06,2,16,2,78,46
golang-rest-api-cassandra-2022/07/07,golang-rest-api-cassandra,2022/07/07,2,32,1,17,14
golang-rest-api-cassandra-2022/07/08,golang-rest-api-cassandra,2022/07/08,2,3,1,0,0
golang-rest-api-cassandra-2022/07/09,golang-rest-api-cassandra,2022/07/09,2,8,1,0,0
golang-rest-api-cassandra-2022/07/11,golang-rest-api-cassandra,2022/07/11,2,1,1,29,24
golang-rest-api-cassandra-2022/06/30,golang-rest-api-cassandra,2022/06/30,2,0,0,2,2
golang-rest-api-cassandra-2022/07/03,golang-rest-api-cassandra,2022/07/03,2,0,0,36,20
golang-rest-api-cassandra-2022/07/04,golang-rest-api-cassandra,2022/07/04,2,0,0,63,31
golang-rest-api-cassandra-2022/07/10,golang-rest-api-cassandra,2022/07/10,2,0,0,3,3
ic-gradle-2022/06/30,ic-gradle,2022/06/30,0,1,1,0,0
ic-gradle-2022/06/29,ic-gradle,2022/06/29,0,0,0,1,1
iot-devices-crud-2022/07/04,iot-devices-crud,2022/07/04,0,3,1,5,4
iot-devices-crud-2022/07/08,iot-devices-crud,2022/07/08,0,1,1,0,0
iot-devices-crud-2022/07/01,iot-devices-crud,2022/07/01,0,0,0,1,1
iot-devices-crud-2022/07/05,iot-devices-crud,2022/07/05,0,0,0,62,34
iot-devices-crud-2022/07/06,iot-devices-crud,2022/07/06,0,0,0,59,32
iot-devices-crud-2022/07/07,iot-devices-crud,2022/07/07,0,0,0,17,16
iot-esp8266-irrigation-system-2022/06/27,iot-esp8266-irrigation-system,2022/06/27,0,13,1,0,0
iot-esp8266-irrigation-system-2022/06/28,iot-esp8266-irrigation-system,2022/06/28,0,17,1,0,0
istio-wasm-filter-golang-2022/06/29,istio-wasm-filter-golang,2022/06/29,0,3,2,0,0
istio-wasm-filter-golang-2022/07/01,istio-wasm-filter-golang,2022/07/01,0,3,1,0,0
istio-wasm-filter-golang-2022/07/02,istio-wasm-filter-golang,2022/07/02,0,2,1,1,1
istio-wasm-filter-golang-2022/07/03,istio-wasm-filter-golang,2022/07/03,0,4,1,0,0
istio-wasm-filter-golang-2022/07/05,istio-wasm-filter-golang,2022/07/05,0,5,1,0,0
istio-wasm-filter-golang-2022/07/07,istio-wasm-filter-golang,2022/07/07,0,1,1,1,1
istio-wasm-filter-golang-2022/07/08,istio-wasm-filter-golang,2022/07/08,0,1,1,0,0
jenkins-pipeline-2022/06/28,jenkins-pipeline,2022/06/28,1,1,1,0,0
jenkins-pipeline-2022/07/06,jenkins-pipeline,2022/07/06,1,2,1,0,0
jenkins-pipeline-2022/07/07,jenkins-pipeline,2022/07/07,1,2,1,0,0
jenkins-pipeline-2022/07/08,jenkins-pipeline,2022/07/08,1,1,1,0,0
jwt-2022/07/07,jwt,2022/07/07,1,1,1,0,0
jwt-2022/06/29,jwt,2022/06/29,1,0,0,2,1
jwt-2022/07/06,jwt,2022/07/06,1,0,0,2,1
kops-aws-2022/07/06,kops-aws,2022/07/06,4,7,1,0,0
kotlin-ktor-2022/06/27,kotlin-ktor,2022/06/27,5,19,1,0,0
kotlin-ktor-2022/06/28,kotlin-ktor,2022/06/28,5,54,2,0,0
kotlin-ktor-2022/06/29,kotlin-ktor,2022/06/29,5,27,2,0,0
kotlin-ktor-2022/06/30,kotlin-ktor,2022/06/30,5,2,1,0,0
kotlin-ktor-2022/07/01,kotlin-ktor,2022/07/01,5,24,3,0,0
kotlin-ktor-2022/07/03,kotlin-ktor,2022/07/03,5,5,1,0,0
kotlin-ktor-2022/07/06,kotlin-ktor,2022/07/06,5,1,1,0,0
kotlin-ktor-2022/07/07,kotlin-ktor,2022/07/07,5,20,3,0,0
kotlin-ktor-2022/07/08,kotlin-ktor,2022/07/08,5,4,1,0,0
kotlin-ktor-2022/07/10,kotlin-ktor,2022/07/10,5,2,2,1,1
kotlin-ktor-2022/07/11,kotlin-ktor,2022/07/11,5,1,1,0,0
kustomize-vs-helm-2022/07/05,kustomize-vs-helm,2022/07/05,3,1,1,0,0
kustomize-vs-helm-2022/07/06,kustomize-vs-helm,2022/07/06,3,24,1,2,1
kustomize-vs-helm-2022/07/07,kustomize-vs-helm,2022/07/07,3,1,1,0,0
library-2022/07/04,library,2022/07/04,0,28,1,0,0
ml-github-2022/07/10,ml-github,2022/07/10,0,6,1,3,3
ml-learning-2022/06/27,ml-learning,2022/06/27,0,0,0,10,6
ml-learning-2022/06/30,ml-learning,2022/06/30,0,0,0,6,5
mqtt-golang-influxdb-2022/06/28,mqtt-golang-influxdb,2022/06/28,9,7,1,0,0
mqtt-golang-influxdb-2022/07/04,mqtt-golang-influxdb,2022/07/04,9,2,1,32,24
mqtt-golang-influxdb-2022/07/08,mqtt-golang-influxdb,2022/07/08,9,5,2,1,1
mqtt-golang-influxdb-2022/07/10,mqtt-golang-influxdb,2022/07/10,9,4,1,0,0
mqtt-golang-influxdb-2022/07/11,mqtt-golang-influxdb,2022/07/11,9,4,1,0,0
mqtt-golang-influxdb-2022/07/05,mqtt-golang-influxdb,2022/07/05,9,0,0,59,31
mqtt-golang-influxdb-2022/07/06,mqtt-golang-influxdb,2022/07/06,9,0,0,59,33
mqtt-golang-influxdb-2022/07/07,mqtt-golang-influxdb,2022/07/07,9,0,0,17,10
mqtt-golang-influxdb-2022/07/09,mqtt-golang-influxdb,2022/07/09,9,0,0,2,1
ocp-HTPasswd-file-provider-2022/06/27,ocp-HTPasswd-file-provider,2022/06/27,0,9,1,1,1
pelorus-workshop-2022/07/06,pelorus-workshop,2022/07/06,0,9,1,9,5
pelorus-workshop-2022/07/07,pelorus-workshop,2022/07/07,0,14,3,24,9
pelorus-workshop-2022/07/08,pelorus-workshop,2022/07/08,0,6,2,0,0
pelorus-workshop-2022/07/10,pelorus-workshop,2022/07/10,0,2,1,0,0
quarkus-kafka-2022/07/05,quarkus-kafka,2022/07/05,0,9,1,0,0
quarkus-kotlin-example-2022/07/02,quarkus-kotlin-example,2022/07/02,2,8,1,0,0
quarkus-kotlin-example-2022/07/04,quarkus-kotlin-example,2022/07/04,2,7,2,0,0
quarkus-kotlin-example-2022/07/06,quarkus-kotlin-example,2022/07/06,2,13,1,0,0
quarkus-kotlin-example-2022/07/07,quarkus-kotlin-example,2022/07/07,2,11,3,0,0
service-mesh-wasm-go-2022/07/04,service-mesh-wasm-go,2022/07/04,0,0,0,5,3
service-mesh-wasm-go-2022/07/05,service-mesh-wasm-go,2022/07/05,0,0,0,2,1
spring-cloud-dataflow-2022/06/30,spring-cloud-dataflow,2022/06/30,0,0,0,1,1
spring-cloud-ms2-2022/06/29,spring-cloud-ms2,2022/06/29,0,0,0,2,1
spring-kotlin-crud-2022/06/28,spring-kotlin-crud,2022/06/28,6,32,1,0,0
spring-kotlin-crud-2022/07/05,spring-kotlin-crud,2022/07/05,6,7,1,0,0
spring-kotlin-crud-2022/07/09,spring-kotlin-crud,2022/07/09,6,15,2,0,0
ta-2022/07/01,ta,2022/07/01,3,1,1,1,1
ta-2022/07/02,ta,2022/07/02,3,1,1,0,0
ta-2022/07/04,ta,2022/07/04,3,10,2,152,57
ta-2022/07/05,ta,2022/07/05,3,26,2,135,49
ta-2022/07/03,ta,2022/07/03,3,0,0,16,15
ta-2022/07/06,ta,2022/07/06,3,0,0,78,44
ta-2022/07/07,ta,2022/07/07,3,0,0,17,15
ta-2022/07/08,ta,2022/07/08,3,0,0,2,1
ta-2022/07/09,ta,2022/07/09,3,0,0,10,9
ta-2022/07/10,ta,2022/07/10,3,0,0,59,38
ta-2022/07/11,ta,2022/07/11,3,0,0,29,22
tinygo-site-2022/07/04,tinygo-site,2022/07/04,0,0,0,1,1
tinygo-site-2022/07/05,tinygo-site,2022/07/05,0,0,0,1,1
workshop-uca-aws-deploy-2022/07/04,workshop-uca-aws-deploy,2022/07/04,0,0,0,2,1
