,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,dbgjerez,2023-06-28,0,0,0,2,2
1,golang-gin-gonic,2023-06-28,0,1,1,0,0
2,golang-rest-api-cassandra,2023-06-28,2,3,1,4,2
3,istio-wasm-filter-golang,2023-06-28,1,1,1,1,1
4,kustomize-vs-helm,2023-06-28,4,10,3,0,0
5,library,2023-06-28,0,0,0,1,1
6,ml-github,2023-06-28,1,0,0,1,1
7,ocp-HTPasswd-file-provider,2023-06-28,0,0,0,1,1
8,quarkus-kotlin-example,2023-06-28,2,0,0,2,2
9,service-mesh-workshop,2023-06-28,3,5,2,0,0
10,workshop-amq-streams,2023-06-28,0,28,3,0,0
11,workshop-argocd,2023-06-28,0,1,1,2,1
12,workshop-golang-grpc,2023-06-28,0,0,0,108,68
13,workshop-tekton-argocd,2023-06-28,0,9,1,0,0
