,name,topics,latest_commit_date,owner
0,rhbk-workshop,"['authentication', 'authorization', 'containers', 'freeipa', 'identity', 'identity-management', 'idm', 'keycloak', 'keycloak-adapter', 'keycloak-extension', 'keycloak-provider', 'keycloak-spi', 'oauth2', 'oidc', 'openid-connect', 'openshift', 'quarkus', 'redhat', 'sso', 'workshop']",20240425,aolle
1,amq-streams-workshop,"['amq-streams', 'gitops', 'kafka', 'strimzi']",20220313,dbgjerez
2,ansible-base,[],20220702,dbgjerez
3,ansible-bootstrap-workstation,"['ansible', 'ansible-playbook', 'fedora']",20221006,dbgjerez
4,asciidoc-base,"['asciidoc', 'documentation']",20220905,dbgjerez
5,b0rr3g0-blog,"['blog', 'hugo']",20230330,dbgjerez
6,cd-travis-app,"['java', 'spring-boot', 'travis-ci']",20181118,dbgjerez
7,dbgjerez,[],20230224,dbgjerez
8,gingonic-go-mongodb,"['gin', 'gin-gonic', 'go', 'golang', 'mongodb']",20230105,dbgjerez
9,golang-azure-eventhub,[],20210315,dbgjerez
10,golang-azure-eventhub-kafka,[],20210315,dbgjerez
11,golang-gin-gonic,"['golang', 'go', 'gin-gonic']",20191108,dbgjerez
12,golang-k8s-helm-helloworld,"['go', 'testing', 'golang', 'docker', 'kubernetes']",20220830,dbgjerez
13,golang-rest-api-cassandra,"['golang', 'go', 'mux', 'cassandra', 'cassandra-database', 'cassandra-cql', 'docker', 'dockerfile', 'rest-api', 'restful-api', 'rest', 'gorilla-mux']",20220425,dbgjerez
14,helm-spring-boot-chart,"['kubernetes', 'k8s', 'helm', 'spring-boot', 'microservice']",20200204,dbgjerez
15,ic-gradle,[],20170525,dbgjerez
16,influx-telegraf-chronograf,[],20190108,dbgjerez
17,influxdb-telegraf-grafana,[],20190624,dbgjerez
18,iot-air-quality,[],20190905,dbgjerez
19,iot-devices-crud,"['iot', 'crud', 'mongodb', 'gin', 'gin-gonic', 'golang', 'helm', 'docker', 'kubernetes']",20220425,dbgjerez
20,iot-esp8266-dht11,"['cpp', 'platformio', 'esp8266', 'dht11', 'iot']",20201210,dbgjerez
21,iot-esp8266-irrigation-system,"['esp8266', 'platformio', 'arduino', 'iot']",20210208,dbgjerez
22,iot-esp8266-relay-web-server,[],20210118,dbgjerez
23,iot-k8s-stack,[],20210210,dbgjerez
24,istio-wasm-filter-golang,"['golang', 'wasm', 'webassembly', 'tinygo', 'docker', 'istio', 'filter', 'envoy', 'envoyproxy']",20210910,dbgjerez
25,jenkins-ci,"['jenkins', 'docker', 'jenkins-pipeline', 'continuous-integration', 'secrets', 'plugins', 'docker-swarm', 'docker-compose']",20180201,dbgjerez
26,jenkins-pipeline,[],20180425,dbgjerez
27,jwt,"['jwt', 'jwt-token', 'jwt-authentication', 'java-8', 'spring-boot', 'spring', 'microservices', 'eureka', 'spring-cloud']",20171204,dbgjerez
28,kops-aws,"['aws', 'kops', 'kubernetes']",20220726,dbgjerez
29,kotlin-ktor,"['guice', 'kotlin', 'ktor', 'ktor-framework', 'cassandra', 'datastax-driver']",20190422,dbgjerez
30,kustomize-vs-helm,"['argocd', 'gitops', 'helm', 'kubernetes', 'kustomize', 'workshop']",20230622,dbgjerez
31,library,[],20180201,dbgjerez
32,licence-plate-workshop,[],20220609,dbgjerez
33,ml-github,"['analytics', 'github', 'pandas', 'python']",20240508,dbgjerez
34,ml-learning,"['machine-learning', 'pandas', 'python']",20220630,dbgjerez
35,mqtt-golang-influxdb,"['golang', 'go', 'gin-gonic', 'gin', 'iot', 'mqtt', 'mosquitto', 'influxdb', 'influx']",20210316,dbgjerez
36,ms-helm-chart,[],20210210,dbgjerez
37,ocp-HTPasswd-file-provider,"['htpasswd', 'kubernetes', 'ocp', 'openshift', 'security']",20220818,dbgjerez
38,ocp-logging,[],20231107,dbgjerez
39,ocp-monitoring-golang,"['grafana', 'kubernetes', 'metrics', 'monitoring', 'observability', 'openshift', 'prometheus', 'redhat', 'go', 'golang']",20220902,dbgjerez
40,pelorus-workshop,"['kubernetes', 'openshift', 'redhat', 'workshop', 'pelorus']",20220707,dbgjerez
41,quarkus-kafka,[],20231020,dbgjerez
42,quarkus-kotlin-example,[],20190422,dbgjerez
43,REST-Services-MySQL,[],20150530,dbgjerez
44,semantic-versioning-cli,"['golang', 'semantic-versioning', 'versioning']",20231004,dbgjerez
45,service-mesh-wasm-go,[],20220705,dbgjerez
46,service-mesh-workshop,"['architecture', 'golang', 'istio', 'openshift', 'redhat', 'service-mesh']",20230330,dbgjerez
47,spring-boot-grafana,[],20180306,dbgjerez
48,spring-cloud-dataflow,[],20180205,dbgjerez
49,spring-cloud-eureka,[],20171204,dbgjerez
50,spring-cloud-ms1,"['spring', 'springcloud', 'java', 'java-8', 'spring-boot', 'spring-mvc']",20170417,dbgjerez
51,spring-cloud-ms2,[],20170417,dbgjerez
52,spring-data-mongodb,[],20160922,dbgjerez
53,spring-kotlin-crud,"['mongodb', 'kotlin', 'spring-kotlin-crud', 'spring', 'spring-mvc', 'spring-boot', 'spring-data-mongodb', 'kotlin-language', 'functional-programming', 'gradle']",20181221,dbgjerez
54,ta,"['criptocurrency', 'gitops', 'golang', 'technical-analysis', 'go']",20220704,dbgjerez
55,terraform-ansible-aws,[],20190521,dbgjerez
56,terraform-aws-demo,[],20171124,dbgjerez
57,uca-workshop-docker,[],20191202,dbgjerez
58,workshop-amq-streams,"['amq-streams', 'kafka', 'kafka-consumer', 'kafka-producer', 'kafkaconnect', 'strimzi']",20230412,dbgjerez
59,workshop-argo-rollouts-doc,"['argo-rollouts', 'argocd', 'bluegreen-deployment', 'canary', 'rollouts']",20230124,dbgjerez
60,workshop-argo-rollouts-resources,[],20230124,dbgjerez
61,workshop-argocd,[],20230626,dbgjerez
62,workshop-cdc,"['cdc', 'change-data-capture', 'kafka', 'kafka-connect', 'quarkus', 'reactjs', 'amq-streams', 'openshift', 'camel']",20231127,dbgjerez
63,workshop-golang-grpc,"['go', 'golang', 'grpc', 'microservices']",20230223,dbgjerez
64,workshop-keda,[],20230719,dbgjerez
65,workshop-redhat-sso,[],20230217,dbgjerez
66,workshop-rhbk,[],20231218,dbgjerez
67,workshop-tekton-argocd,"['argocd', 'openshift', 'pipelines-as-code', 'tekton', 'tekton-pipelines']",20230530,dbgjerez
68,workshop-tekton-argocd-app-quarkus,[],20230421,dbgjerez
69,workshop-tekton-argocd-app-quarkus-config,[],20230414,dbgjerez
70,workshop-uca-aws-deploy,[],20220304,dbgjerez
71,spring-cloud,[],20180116,ediazram
72,spring-cloud-config,[],20180123,ediazram
73,licence-plate-workshop,[],20220609,redhat-iberia
74,dstrategies-app-deployment,[],20230202,rhte2023-argo-rollouts
75,dstrategies-back,[],20221202,rhte2023-argo-rollouts
76,dstrategies-frontend,[],20221221,rhte2023-argo-rollouts
77,ocp-cluster-setup,[],20230620,rhte2023-argo-rollouts
78,redhat-workshop-deployment-strategies,[],20230303,rhte2023-argo-rollouts
79,ProyectoEncuesta,[],20180602,strider76
